time_sec,chord,confidence
0.0,N,0.0
0.5,N,0.0
1.0,N,0.0
1.5,N,0.0
2.0,N,0.0
2.5,C#6,339.0
3.0,C#6,339.0
3.5,C#6,429.4
4.0,C#6,452.0
4.5,C#6,361.6
5.0,C#6,203.39999999999998
5.5,D#7,271.2
6.0,D#7,316.40000000000003
6.5,C#6,271.20000000000005
7.0,D#9,203.39999999999998
7.5,Cm,226.0
8.0,Fm9,158.2
8.5,G#7,406.8
9.0,G#7,361.6
9.5,D#m7,361.6
10.0,G#9,384.2
10.5,C#maj9,248.6
11.0,Caug,90.4
11.5,C#,271.2
12.0,F#maj9,248.59999999999997
12.5,F#maj9,226.0
13.0,D#m9,226.0
13.5,C#,226.0
14.0,C#,226.0
14.5,C#,158.2
15.0,C#6,512.0
15.5,C#6,1165.2
16.0,C#6,1088.0
16.5,C#6,1074.0
17.0,C#6,1107.4
17.5,C#6,1153.6
18.0,C#6,830.2
18.5,C#7,719.8
19.0,C#add11,575.2
19.5,C#7,610.6
20.0,C#7,727.5999999999999
20.5,C#7,676.4000000000001
21.0,F#maj9,569.6
21.5,Dmaj7#5,1050.0
22.0,Dmaj7#5,904.2
22.5,Dmaj7#5,879.8
23.0,Dmaj7#5,1077.0
23.5,Dmaj7#5,925.8
24.0,Dmaj7#5,801.0
24.5,D#m7,811.0
25.0,Cm7b5,758.2
25.5,Cm7b5,804.6
26.0,Cm7b5,858.2
26.5,Cm7b5,726.4
27.0,Cm7b5,809.0
27.5,G#maj9,1034.2
28.0,G#maj9,1034.6
28.5,G#maj9,945.5999999999999
29.0,G#7,753.6
29.5,C#maj9,272.2
30.0,C#add11,343.6
30.5,Emaj9,795.2
31.0,Emaj9,704.6
31.5,D#maj9,663.0
32.0,Dmaj9,467.6
32.5,Dmaj9,820.4000000000001
33.0,D#maj9,831.2
33.5,Emaj9,470.4
34.0,Emaj9,800.8
34.5,D#maj9,723.2
35.0,Dmaj9,469.6
35.5,Dmaj9,724.4
36.0,Gm9,938.4000000000001
36.5,D#maj9,663.2
37.0,Cm7,783.4000000000001
37.5,Cm7,822.6
38.0,D#maj9,869.0
38.5,D#maj9,778.5999999999999
39.0,D#maj9,632.4
39.5,C9,562.4
40.0,C#dim7,835.6
40.5,C#dim7,644.8
41.0,D#9,637.8
41.5,C#maj7#5,1038.0
42.0,F7,723.8
42.5,F7,535.2
43.0,F9,1180.8
43.5,F9,1301.8
44.0,F9,1255.6
44.5,F7,786.1999999999999
45.0,F7,359.6
45.5,Cdim7,333.0
46.0,Fadd11,494.2
46.5,C#6,608.2
