pitch,start,end,velocity,instrument
73,2.6923049999999997,2.9967918749999995,113,52
65,2.6923049999999997,3.0128174999999997,113,52
70,2.6923049999999997,3.0689071875,113,52
68,2.6923049999999997,3.0689071875,113,52
68,3.0769199999999994,3.2932659374999997,113,52
70,3.0769199999999994,3.30127875,113,52
73,3.0769199999999994,3.3573684374999995,113,52
65,3.0769199999999994,3.3814068749999997,113,52
73,3.4615349999999996,3.7900603124999996,113,52
68,3.4615349999999996,3.8060859375,113,52
65,3.4615349999999996,3.8060859375,113,52
70,3.4615349999999996,3.8221115624999995,113,52
73,3.8461499999999997,4.503200625,113,52
65,3.8461499999999997,4.5272390625,113,52
68,3.8461499999999997,4.551277499999999,113,52
70,3.8461499999999997,4.567303125,113,52
68,4.615379999999999,5.2483921874999995,113,52
70,4.615379999999999,5.2644178125,113,52
73,4.615379999999999,5.288456249999999,113,52
65,4.615379999999999,5.304481875,113,52
70,5.769225,6.065699062499999,113,52
67,5.769225,6.065699062499999,113,52
73,5.769225,6.073711874999999,113,52
63,5.769225,6.089737499999999,113,52
67,6.153839999999999,6.482365312499999,113,52
70,6.153839999999999,6.498390937499999,113,52
73,6.153839999999999,6.530442187499999,113,52
63,6.153839999999999,6.530442187499999,113,52
70,6.538454999999999,6.858967499999999,113,52
68,6.538454999999999,6.891018749999999,113,52
65,6.538454999999999,6.9150571874999995,113,52
73,6.923069999999999,7.299672187499999,113,52
70,6.923069999999999,7.299672187499999,113,52
67,6.923069999999999,7.299672187499999,113,52
68,7.307684999999999,7.491979687499999,113,52
65,7.307684999999999,7.491979687499999,113,52
67,7.499992499999999,8.189094375,113,52
63,7.499992499999999,8.301273749999998,113,52
66,8.46153,8.749991249999999,113,52
72,8.46153,8.7820425,113,52
63,8.46153,8.81409375,113,52
68,8.46153,8.822106562499998,113,52
66,8.846144999999998,9.13460625,113,52
63,8.846144999999998,9.1666575,113,52
68,8.846144999999998,9.174670312499998,113,52
72,8.846144999999998,9.182683124999999,113,52
66,9.230759999999998,9.527234062499998,113,52
72,9.230759999999998,9.583323749999998,113,52
63,9.230759999999998,9.583323749999998,113,52
68,9.230759999999998,9.6073621875,113,52
73,9.615374999999998,10.376592187499998,113,52
70,9.615374999999998,10.376592187499998,113,52
66,9.615374999999998,10.376592187499998,113,52
63,9.615374999999998,10.376592187499998,113,52
66,10.384604999999999,10.576912499999999,113,52
63,10.384604999999999,10.600950937499999,113,52
68,10.384604999999999,11.0496684375,113,52
72,10.384604999999999,11.145822187499999,113,52
68,11.153834999999999,11.466334687499998,113,52
65,11.53845,11.7067190625,113,52
68,11.53845,11.714731874999998,113,52
61,11.53845,11.714731874999998,113,52
73,11.53845,11.746783124999999,113,52
65,11.923065,12.107359687499999,113,52
68,11.923065,12.267615937499999,113,52
73,11.923065,12.299667187499999,113,52
61,11.923065,12.299667187499999,113,52
66,12.307679999999998,12.6041540625,113,52
70,12.307679999999998,12.6842821875,113,52
68,12.692294999999998,13.0688971875,113,52
65,12.692294999999998,13.0688971875,113,52
66,13.076909999999998,13.453512187499998,113,52
63,13.076909999999998,13.453512187499998,113,52
65,13.461524999999998,14.871779999999998,113,52
61,13.461524999999998,14.919856874999999,113,52
58,15.384599999999999,15.713125312499999,123,0
65,15.384599999999999,15.801266249999998,122,0
61,15.384599999999999,15.865368749999998,123,0
53,15.384599999999999,18.0368409375,123,0
46,15.384599999999999,18.429468749999998,120,0
65,15.384599999999999,16.025624999999998,104,48
58,15.384599999999999,18.341327812499998,113,52
