time_sec,density
0.0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1.0,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2.0,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,4
2.7,4
2.8,4
2.9,3
3.0,4
3.1,4
3.2,3
3.3,0
3.4,4
3.5,4
3.6,4
3.7,3
3.8,4
3.9,4
4.0,4
4.1,4
4.2,4
4.3,4
4.4,4
4.5,0
4.6,4
4.7,4
4.8,4
4.9,4
5.0,4
5.1,4
5.2,1
5.3,0
5.4,0
5.5,0
5.6,0
5.7,4
5.8,4
5.9,4
6.0,0
6.1,4
6.2,4
6.3,4
6.4,2
6.5,3
6.6,3
6.7,3
6.8,1
6.9,3
7.0,3
7.1,3
7.2,0
7.3,2
7.4,2
7.5,2
7.6,2
7.7,2
7.8,2
7.9,2
8.0,2
8.1,1
8.2,1
8.3,0
8.4,4
8.5,4
8.6,4
8.7,2
8.8,4
8.9,4
9.0,4
9.1,0
9.2,4
9.3,4
9.4,4
9.5,1
9.6,4
9.7,4
9.8,4
9.9,4
10.0,4
10.1,4
10.2,4
10.3,4
10.4,4
10.5,3
10.6,2
10.7,2
10.8,2
10.9,2
11.0,1
11.1,1
11.2,1
11.3,1
11.4,0
11.5,4
11.6,4
11.7,0
11.8,0
11.9,4
12.0,4
12.1,3
12.2,0
12.3,2
12.4,2
12.5,2
12.6,2
12.7,2
12.8,2
12.9,2
13.0,2
13.1,2
13.2,2
13.3,2
13.4,2
13.5,2
13.6,2
13.7,2
13.8,2
13.9,2
14.0,2
14.1,2
14.2,2
14.3,2
14.4,2
14.5,2
14.6,2
14.7,2
14.8,1
14.9,0
15.0,0
15.1,0
15.2,0
15.3,5
15.4,5
15.5,5
15.6,5
15.7,5
15.8,5
15.9,5
16.0,5
16.1,5
16.2,5
16.3,5
16.4,5
16.5,5
16.6,5
16.7,5
16.8,5
16.9,5
17.0,5
17.1,5
17.2,5
17.3,5
17.4,5
17.5,5
17.6,5
17.7,5
17.8,5
17.9,5
18.0,5
18.1,5
18.2,5
18.3,4
18.4,5
18.5,5
18.6,5
18.7,5
18.8,4
18.9,4
19.0,4
19.1,4
19.2,6
19.3,5
19.4,5
19.5,5
19.6,4
19.7,4
19.8,4
19.9,6
20.0,5
20.1,5
20.2,5
20.3,6
20.4,4
20.5,4
20.6,4
20.7,5
20.8,4
20.9,4
21.0,4
21.1,6
21.2,4
21.3,3
21.4,3
21.5,6
21.6,6
21.7,6
21.8,6
21.9,7
22.0,6
22.1,6
22.2,6
22.3,6
22.4,6
22.5,6
22.6,7
22.7,6
22.8,6
22.9,6
23.0,7
23.1,6
23.2,6
23.3,6
23.4,7
23.5,6
23.6,6
23.7,6
23.8,7
23.9,6
24.0,6
24.1,6
24.2,6
24.3,6
24.4,6
24.5,5
24.6,6
24.7,6
24.8,6
24.9,6
25.0,5
25.1,5
25.2,5
25.3,6
25.4,6
25.5,6
25.6,6
25.7,5
25.8,5
25.9,5
26.0,5
26.1,6
26.2,6
26.3,6
26.4,5
26.5,5
26.6,5
26.7,5
26.8,5
26.9,6
27.0,6
27.1,5
27.2,5
27.3,5
27.4,5
27.5,5
27.6,8
27.7,6
27.8,6
27.9,6
28.0,7
28.1,6
28.2,6
28.3,6
28.4,9
28.5,6
28.6,6
28.7,6
28.8,7
28.9,6
29.0,5
29.1,5
29.2,6
29.3,5
29.4,4
29.5,3
29.6,3
29.7,3
29.8,0
29.9,1
30.0,1
30.1,1
30.2,1
30.3,2
30.4,1
30.5,1
30.6,1
30.7,6
30.8,5
30.9,5
31.0,1
31.1,6
31.2,6
31.3,4
31.4,2
31.5,6
31.6,6
31.7,5
31.8,0
31.9,0
32.0,0
32.1,0
32.2,0
32.3,6
32.4,6
32.5,3
32.6,6
32.7,6
32.8,5
32.9,3
33.0,6
33.1,6
33.2,6
33.3,2
33.4,0
33.5,0
33.6,0
33.7,0
33.8,6
33.9,6
34.0,5
34.1,1
34.2,6
34.3,6
34.4,3
34.5,2
34.6,6
34.7,6
34.8,5
34.9,4
35.0,0
35.1,0
35.2,0
35.3,6
35.4,6
35.5,5
35.6,4
35.7,6
35.8,5
35.9,3
36.0,1
36.1,6
36.2,6
36.3,6
36.4,6
36.5,6
36.6,5
36.7,4
36.8,1
36.9,5
37.0,5
37.1,5
37.2,5
37.3,5
37.4,4
37.5,4
37.6,5
37.7,4
37.8,4
37.9,4
38.0,5
38.1,4
38.2,4
38.3,4
38.4,5
38.5,4
38.6,4
38.7,4
38.8,4
38.9,4
39.0,3
39.1,3
39.2,4
39.3,4
39.4,3
39.5,3
39.6,3
39.7,2
39.8,2
39.9,7
40.0,5
40.1,5
40.2,5
40.3,5
40.4,5
40.5,5
40.6,4
40.7,5
40.8,5
40.9,5
41.0,4
41.1,6
41.2,6
41.3,6
41.4,3
41.5,6
41.6,5
41.7,5
41.8,5
41.9,5
42.0,5
42.1,5
42.2,4
42.3,6
42.4,6
42.5,5
42.6,5
42.7,3
42.8,3
42.9,3
43.0,7
43.1,7
43.2,7
43.3,7
43.4,8
43.5,8
43.6,8
43.7,8
43.8,9
43.9,8
44.0,8
44.1,8
44.2,9
44.3,9
44.4,9
44.5,8
44.6,8
44.7,6
44.8,6
44.9,6
45.0,5
45.1,4
45.2,3
45.3,1
45.4,1
45.5,1
45.6,1
45.7,1
45.8,1
45.9,1
46.0,1
46.1,3
46.2,3
46.3,3
46.4,3
46.5,4
46.6,4
46.7,4
46.8,4
46.9,4
47.0,4
47.1,4
47.2,4
47.3,5
47.4,5
47.5,5
47.6,7
47.7,7
47.8,6
47.9,6
48.0,7
48.1,7
48.2,7
48.3,7
48.4,9
48.5,7
48.6,7
48.7,7
48.8,8
48.9,8
49.0,7
49.1,5
49.2,6
49.3,5
49.4,5
49.5,5
49.6,5
49.7,5
49.8,5
49.9,5
50.0,5
50.1,5
50.2,5
50.3,6
50.4,5
50.5,5
50.6,5
50.7,7
50.8,6
50.9,6
51.0,6
51.1,7
51.2,6
51.3,6
51.4,6
51.5,8
51.6,7
51.7,7
51.8,7
51.9,7
52.0,5
52.1,5
52.2,3
52.3,5
52.4,5
52.5,5
52.6,5
52.7,5
52.8,5
52.9,5
53.0,5
53.1,5
53.2,5
53.3,5
53.4,6
53.5,6
53.6,6
53.7,6
53.8,7
53.9,7
54.0,7
54.1,7
54.2,8
54.3,8
54.4,8
54.5,8
54.6,9
54.7,9
54.8,8
54.9,9
55.0,8
55.1,8
55.2,8
55.3,8
55.4,4
55.5,4
55.6,4
55.7,5
55.8,4
55.9,5
56.0,5
56.1,5
56.2,4
56.3,4
56.4,4
56.5,5
56.6,5
56.7,5
56.8,5
56.9,7
57.0,6
57.1,6
57.2,6
57.3,6
57.4,6
57.5,6
57.6,8
57.7,7
57.8,7
57.9,6
58.0,8
58.1,7
58.2,6
58.3,6
58.4,7
58.5,5
58.6,5
58.7,5
58.8,5
58.9,5
59.0,4
59.1,4
59.2,5
59.3,5
59.4,5
59.5,5
59.6,6
59.7,5
59.8,6
59.9,8
60.0,8
60.1,7
60.2,7
60.3,8
60.4,7
60.5,7
60.6,7
60.7,8
60.8,7
60.9,7
61.0,6
61.1,7
61.2,7
61.3,6
61.4,5
61.5,8
61.6,6
61.7,6
61.8,5
61.9,5
62.0,5
62.1,6
